imgnum;imgpath;crop;code_x;key;Species;EPPO_map;Organisme;code_y;Notes;train_test_set;code;date;hour;artist;day_obs_count;subid
Iav00022;../data/Bousset2_data/Images/Avoine/Oïdium/Iav00022.jpg;Avoine;Oïdium;Avoine_Oïdium;Avoine;ERYSGA;Blumeria graminis f.sp avenae;Oïdium;;train;Oïdium;2024:04:15;13:49:21;nan;14;Avoine_Oïdium
Iav00031;../data/Bousset2_data/Images/Avoine/Oïdium/Iav00031.jpg;Avoine;Oïdium;Avoine_Oïdium;Avoine;ERYSGA;Blumeria graminis f.sp avenae;Oïdium;;train;Oïdium;2024:04:15;13:50:59;nan;14;Avoine_Oïdium
Iav00032;../data/Bousset2_data/Images/Avoine/Oïdium/Iav00032.jpg;Avoine;Oïdium;Avoine_Oïdium;Avoine;ERYSGA;Blumeria graminis f.sp avenae;Oïdium;;train;Oïdium;2024:04:15;13:51:07;nan;14;Avoine_Oïdium
Iav00033;../data/Bousset2_data/Images/Avoine/Oïdium/Iav00033.jpg;Avoine;Oïdium;Avoine_Oïdium;Avoine;ERYSGA;Blumeria graminis f.sp avenae;Oïdium;;train;Oïdium;2024:04:15;13:51:09;nan;14;Avoine_Oïdium
Iav00047;../data/Bousset2_data/Images/Avoine/Oïdium/Iav00047.jpg;Avoine;Oïdium;Avoine_Oïdium;Avoine;ERYSGA;Blumeria graminis f.sp avenae;Oïdium;;train;Oïdium;2024:04:15;13:55:58;nan;14;Avoine_Oïdium
Iav00067;../data/VAULT/Bousset2_data/Images/Avoine/Oïdium/Iav00067.jpg;Avoine;Oïdium;Avoine_Oïdium;Avoine;ERYSGA;Blumeria graminis f.sp avenae;Oïdium;;vault;Oïdium;2024:04:22;13:58:11;nan;14;Avoine_Oïdium
Iav00068;../data/VAULT/Bousset2_data/Images/Avoine/Oïdium/Iav00068.jpg;Avoine;Oïdium;Avoine_Oïdium;Avoine;ERYSGA;Blumeria graminis f.sp avenae;Oïdium;;vault;Oïdium;2024:04:22;13:58:20;nan;14;Avoine_Oïdium
Iav00071;../data/VAULT/Bousset2_data/Images/Avoine/Oïdium/Iav00071.jpg;Avoine;Oïdium;Avoine_Oïdium;Avoine;ERYSGA;Blumeria graminis f.sp avenae;Oïdium;;vault;Oïdium;2024:04:22;13:58:43;nan;14;Avoine_Oïdium
Iav00072;../data/VAULT/Bousset2_data/Images/Avoine/Oïdium/Iav00072.jpg;Avoine;Oïdium;Avoine_Oïdium;Avoine;ERYSGA;Blumeria graminis f.sp avenae;Oïdium;;vault;Oïdium;2024:04:22;13:59:00;nan;14;Avoine_Oïdium
Iav00074;../data/VAULT/Bousset2_data/Images/Avoine/Oïdium/Iav00074.jpg;Avoine;Oïdium;Avoine_Oïdium;Avoine;ERYSGA;Blumeria graminis f.sp avenae;Oïdium;;vault;Oïdium;2024:04:22;13:59:45;nan;14;Avoine_Oïdium
Iav00076;../data/VAULT/Bousset2_data/Images/Avoine/Oïdium/Iav00076.jpg;Avoine;Oïdium;Avoine_Oïdium;Avoine;ERYSGA;Blumeria graminis f.sp avenae;Oïdium;;vault;Oïdium;2024:04:22;14:00:04;nan;14;Avoine_Oïdium
Iav00003;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00003.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:44:28;nan;7;Avoine_Rouille couronnée
Iav00005;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00005.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:44:58;nan;7;Avoine_Rouille couronnée
Iav00006;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00006.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:45:20;nan;7;Avoine_Rouille couronnée
Iav00007;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00007.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:45:27;nan;7;Avoine_Rouille couronnée
Iav00008;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00008.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:45:29;nan;7;Avoine_Rouille couronnée
Iav00009;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00009.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:45:43;nan;7;Avoine_Rouille couronnée
Iav00010;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00010.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:46:04;nan;7;Avoine_Rouille couronnée
Iav00011;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00011.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:46:30;nan;7;Avoine_Rouille couronnée
Iav00025;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00025.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:49:56;nan;7;Avoine_Rouille couronnée
Iav00039;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00039.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:53:00;nan;7;Avoine_Rouille couronnée
Iav00040;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00040.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:53:09;nan;7;Avoine_Rouille couronnée
Iav00041;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00041.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:53:37;nan;7;Avoine_Rouille couronnée
Iav00043;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00043.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:54:17;nan;7;Avoine_Rouille couronnée
Iav00044;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00044.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:54:39;nan;7;Avoine_Rouille couronnée
Iav00045;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00045.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;13:54:50;nan;7;Avoine_Rouille couronnée
Iav00055;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00055.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:15;14:00:37;nan;7;Avoine_Rouille couronnée
Iav00062;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00062.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;13:56:49;nan;7;Avoine_Rouille couronnée
Iav00063;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00063.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;13:57:17;nan;7;Avoine_Rouille couronnée
Iav00064;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00064.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;13:57:23;nan;7;Avoine_Rouille couronnée
Iav00065;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00065.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;13:57:47;nan;7;Avoine_Rouille couronnée
Iav00066;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00066.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;13:57:52;nan;7;Avoine_Rouille couronnée
Iav00080;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00080.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;14:01:16;nan;7;Avoine_Rouille couronnée
Iav00081;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00081.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;14:01:19;nan;7;Avoine_Rouille couronnée
Iav00082;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00082.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;14:01:23;nan;7;Avoine_Rouille couronnée
Iav00084;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00084.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;14:01:30;nan;7;Avoine_Rouille couronnée
Iav00085;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00085.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;14:01:34;nan;7;Avoine_Rouille couronnée
Iav00089;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00089.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;14:03:49;nan;7;Avoine_Rouille couronnée
Iav00090;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00090.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;14:03:53;nan;7;Avoine_Rouille couronnée
Iav00091;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00091.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;14:04:01;nan;7;Avoine_Rouille couronnée
Iav00092;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00092.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;14:04:10;nan;7;Avoine_Rouille couronnée
Iav00093;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00093.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;14:04:19;nan;7;Avoine_Rouille couronnée
Iav00094;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00094.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:04:22;14:04:30;nan;7;Avoine_Rouille couronnée
Iav00095;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00095.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:33:40;nan;7;Avoine_Rouille couronnée
Iav00102;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00102.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:35:14;nan;7;Avoine_Rouille couronnée
Iav00103;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00103.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:35:16;nan;7;Avoine_Rouille couronnée
Iav00104;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00104.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:35:20;nan;7;Avoine_Rouille couronnée
Iav00105;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00105.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:35:27;nan;7;Avoine_Rouille couronnée
Iav00107;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00107.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:35:35;nan;7;Avoine_Rouille couronnée
Iav00108;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00108.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:35:46;nan;7;Avoine_Rouille couronnée
Iav00109;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00109.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:35:49;nan;7;Avoine_Rouille couronnée
Iav00110;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00110.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:36:00;nan;7;Avoine_Rouille couronnée
Iav00113;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00113.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:36:31;nan;7;Avoine_Rouille couronnée
Iav00114;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00114.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:36:41;nan;7;Avoine_Rouille couronnée
Iav00115;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00115.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:36:51;nan;7;Avoine_Rouille couronnée
Iav00116;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00116.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:37:00;nan;7;Avoine_Rouille couronnée
Iav00118;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00118.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:37:24;nan;7;Avoine_Rouille couronnée
Iav00119;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00119.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:37:26;nan;7;Avoine_Rouille couronnée
Iav00120;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00120.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:37:31;nan;7;Avoine_Rouille couronnée
Iav00121;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00121.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:37:38;nan;7;Avoine_Rouille couronnée
Iav00122;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00122.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:03;13:37:40;nan;7;Avoine_Rouille couronnée
Iav00134;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00134.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:19:53;nan;7;Avoine_Rouille couronnée
Iav00136;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00136.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:20:10;nan;7;Avoine_Rouille couronnée
Iav00137;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00137.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:20:16;nan;7;Avoine_Rouille couronnée
Iav00138;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00138.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:20:18;nan;7;Avoine_Rouille couronnée
Iav00139;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00139.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:20:21;nan;7;Avoine_Rouille couronnée
Iav00141;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00141.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:20:28;nan;7;Avoine_Rouille couronnée
Iav00142;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00142.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:20:30;nan;7;Avoine_Rouille couronnée
Iav00143;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00143.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:20:31;nan;7;Avoine_Rouille couronnée
Iav00144;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00144.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:20:33;nan;7;Avoine_Rouille couronnée
Iav00145;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00145.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:20:36;nan;7;Avoine_Rouille couronnée
Iav00146;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00146.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:20:41;nan;7;Avoine_Rouille couronnée
Iav00148;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00148.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:21:06;nan;7;Avoine_Rouille couronnée
Iav00149;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00149.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:21:22;nan;7;Avoine_Rouille couronnée
Iav00150;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00150.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:21:25;nan;7;Avoine_Rouille couronnée
Iav00151;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00151.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:21:32;nan;7;Avoine_Rouille couronnée
Iav00152;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00152.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:21:41;nan;7;Avoine_Rouille couronnée
Iav00153;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00153.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:21:52;nan;7;Avoine_Rouille couronnée
Iav00154;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00154.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:22:05;nan;7;Avoine_Rouille couronnée
Iav00155;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00155.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:22:09;nan;7;Avoine_Rouille couronnée
Iav00156;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00156.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:22:11;nan;7;Avoine_Rouille couronnée
Iav00157;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00157.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:22:18;nan;7;Avoine_Rouille couronnée
Iav00158;../data/Bousset2_data/Images/Avoine/Rouille couronnée/Iav00158.jpg;Avoine;Rouille couronnée;Avoine_Rouille couronnée;Avoine;PUCCCA;Puccinia coronata var avenae;Rouille couronnée;;train;Rouille couronnée;2024:05:23;12:22:28;nan;7;Avoine_Rouille couronnée
