imgnum;baseimgurl;sub_name;scientificName;cat;autid;subid;photographer;dateAc;commonName;species;genus;family;imgpath;syn;host_subid;name_infered_organ_class;is_dup;train_test_set
1467221;//bugwoodcloud.org/images/;air pollutants;;cat=1;35059;758;USDA Forest Service -  Forest Health Protection Intermountain Region - Ogden, UT ;2006-07-07T15:06:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1467221.jpg;;2217.0;habit;False;train
1467222;//bugwoodcloud.org/images/;air pollutants;;cat=1;35059;758;USDA Forest Service -  Forest Health Protection Intermountain Region - Ogden, UT ;2006-07-07T15:06:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1467222.jpg;;2217.0;habit;False;train
1505030;//bugwoodcloud.org/images/;air pollutants;;cat=1;12034;758;USDA Forest Service - Region 8 - Southern ;1990-01-01T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1505030.jpg;;3480.0;habit;False;train
1505031;//bugwoodcloud.org/images/;air pollutants;;cat=1;12034;758;USDA Forest Service - Region 8 - Southern ;1990-01-01T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1505031.jpg;;3480.0;habit;False;train
1505032;//bugwoodcloud.org/images/;air pollutants;;cat=1;12034;758;USDA Forest Service - Region 8 - Southern ;1990-01-01T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1505032.jpg;;3480.0;leaf;False;train
1505033;//bugwoodcloud.org/images/;air pollutants;;cat=1;12034;758;USDA Forest Service - Region 8 - Southern ;1990-01-01T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1505033.jpg;;3480.0;leaf;False;train
1643001;//bugwoodcloud.org/images/;air pollutants;;cat=1;203205;758;USDA Forest Service - Coeur d’Alene Field Office ;2021-11-22T14:59:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1643001.jpg;;2217.0;habit;False;train
1643334;//bugwoodcloud.org/images/;air pollutants;;cat=1;203205;758;USDA Forest Service - Coeur d’Alene Field Office ;2021-11-22T15:18:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1643334.jpg;;2217.0;leaf;False;train
3036039;//bugwoodcloud.org/images/;air pollutants;;cat=1;1;758;Robert L. Anderson;1990-01-01T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/3036039.jpg;;2762.0;habit;False;train
3036088;//bugwoodcloud.org/images/;air pollutants;;cat=1;1;758;Robert L. Anderson;1990-01-01T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/3036088.jpg;;2762.0;habit;False;train
3036094;//bugwoodcloud.org/images/;air pollutants;;cat=1;1;758;Robert L. Anderson;1990-01-01T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/3036094.jpg;;6921.0;leaf;False;train
3040035;//bugwoodcloud.org/images/;air pollutants;;cat=1;11449;758;Petr Kapitola;2006-02-22T16:29:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/3040035.jpg;;3132.0;leaf;False;train
3040056;//bugwoodcloud.org/images/;air pollutants;;cat=1;11449;758;Petr Kapitola;2006-02-22T16:30:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/3040056.jpg;;11526.0;leaf;False;train
3040057;//bugwoodcloud.org/images/;air pollutants;;cat=1;11449;758;Petr Kapitola;2006-02-22T16:30:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/3040057.jpg;;11526.0;leaf;False;train
3040065;//bugwoodcloud.org/images/;air pollutants;;cat=1;11449;758;Petr Kapitola;2006-02-22T16:30:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/3040065.jpg;;3420.0;leaf;False;train
3040066;//bugwoodcloud.org/images/;air pollutants;;cat=1;11449;758;Petr Kapitola;2006-02-22T16:30:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/3040066.jpg;;10631.0;leaf;False;train
3040068;//bugwoodcloud.org/images/;air pollutants;;cat=1;11449;758;Petr Kapitola;2006-02-22T16:30:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/3040068.jpg;;3477.0;leaf;False;train
3040072;//bugwoodcloud.org/images/;air pollutants;;cat=1;11449;758;Petr Kapitola;2006-02-22T16:30:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/3040072.jpg;;14770.0;leaf;False;train
3570049;//bugwoodcloud.org/images/;air pollutants;;cat=1;11449;758;Petr Kapitola;2006-02-22T16:31:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/3570049.jpg;;2759.0;leaf;False;train
4214063;//bugwoodcloud.org/images/;air pollutants;;cat=1;144;758;Minnesota Department of Natural Resources - FIA ;1990-01-01T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/4214063.jpg;;2762.0;habit;False;train
4214064;//bugwoodcloud.org/images/;air pollutants;;cat=1;144;758;Minnesota Department of Natural Resources - FIA ;1990-01-01T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/4214064.jpg;;2762.0;branch;False;train
4449011;//bugwoodcloud.org/images/;air pollutants;;cat=1;11449;758;Petr Kapitola;2006-02-22T16:33:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/4449011.jpg;;2762.0;habit;False;train
4912058;//bugwoodcloud.org/images/;air pollutants;;cat=1;11449;758;Petr Kapitola;2006-02-27T09:27:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/4912058.jpg;;14770.0;scan;False;train
4912059;//bugwoodcloud.org/images/;air pollutants;;cat=1;11449;758;Petr Kapitola;2006-02-27T09:27:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/4912059.jpg;;10631.0;leaf;False;train
5333080;//bugwoodcloud.org/images/;air pollutants;;cat=1;53257;758;Mary Ann Hansen;2007-11-01T10:11:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/5333080.jpg;;;habit;False;train
5333081;//bugwoodcloud.org/images/;air pollutants;;cat=1;53257;758;Mary Ann Hansen;2007-11-01T10:12:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/5333081.jpg;;33772.0;leaf;False;train
364088;//bugwoodcloud.org/images/;chemicals;;cat=1;1;759;Robert L. Anderson;1995-06-15T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/0364088.jpg;;;leaf;False;train
364089;//bugwoodcloud.org/images/;chemicals;;cat=1;1;759;Robert L. Anderson;1995-06-15T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/0364089.jpg;;;habit;False;train
541038;//bugwoodcloud.org/images/;chemicals;;cat=1;11449;759;Petr Kapitola;2006-02-22T16:28:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/0541038.jpg;;3226.0;flower;False;train
1241647;//bugwoodcloud.org/images/;chemicals;;cat=1;123;759;Susan K. Hagle;2004-04-14T12:37:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1241647.jpg;;2735.0;habit;False;train
1241648;//bugwoodcloud.org/images/;chemicals;;cat=1;123;759;Susan K. Hagle;2004-04-14T12:37:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1241648.jpg;;;habit;False;train
1241649;//bugwoodcloud.org/images/;chemicals;;cat=1;123;759;Susan K. Hagle;2004-04-14T12:37:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1241649.jpg;;;habit;False;train
1241650;//bugwoodcloud.org/images/;chemicals;;cat=1;2350;759;Gregg DeNitto;2004-04-14T12:37:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1241650.jpg;;2735.0;habit;False;train
1241651;//bugwoodcloud.org/images/;chemicals;;cat=1;2350;759;Gregg DeNitto;2004-04-14T12:37:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1241651.jpg;;2735.0;habit;False;train
1402071;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;2002-03-10T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1402071.jpg;;4227.0;leaf;False;train
1402072;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;2002-03-10T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1402072.jpg;;4227.0;leaf;False;train
1402073;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;2002-03-10T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1402073.jpg;;4227.0;habit;False;train
1402076;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;2002-03-10T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1402076.jpg;;4227.0;leaf;False;train
1402087;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;2002-03-10T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1402087.jpg;;4227.0;leaf;False;train
1402088;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;2002-03-10T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1402088.jpg;;4227.0;leaf;False;train
1402089;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;2002-03-10T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1402089.jpg;;4227.0;leaf;False;train
1402090;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;2002-03-10T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1402090.jpg;;4227.0;leaf;False;train
1402091;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;2002-03-10T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1402091.jpg;;4227.0;habit;False;train
1440076;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1440076.jpg;;6992.0;habit;False;train
1440084;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1440084.jpg;;6992.0;leaf;False;train
1440085;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1440085.jpg;;6992.0;habit;False;train
1440086;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1440086.jpg;;6992.0;leaf;False;train
1440087;//bugwoodcloud.org/images/;chemicals;;cat=1;2887;759;R.J. Reynolds Tobacco Company ;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1440087.jpg;;6992.0;leaf;False;train
1442026;//bugwoodcloud.org/images/;chemicals;;cat=1;3342;759;USDA Forest Service - Region 2 - Rocky Mountain Region ;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1442026.jpg;;;habit;False;train
1442027;//bugwoodcloud.org/images/;chemicals;;cat=1;3342;759;USDA Forest Service - Region 2 - Rocky Mountain Region ;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1442027.jpg;;;leaf;False;train
1467030;//bugwoodcloud.org/images/;chemicals;;cat=1;35059;759;USDA Forest Service -  Forest Health Protection Intermountain Region - Ogden, UT ;2006-07-07T14:50:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1467030.jpg;;2749.0;habit;False;train
1467214;//bugwoodcloud.org/images/;chemicals;;cat=1;35059;759;USDA Forest Service -  Forest Health Protection Intermountain Region - Ogden, UT ;2006-07-07T15:06:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1467214.jpg;;;habit;False;train
1494018;//bugwoodcloud.org/images/;chemicals;;cat=1;46170;759;University of Georgia Plant Pathology ;2007-08-23T13:57:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1494018.jpg;;3262.0;leaf;False;train
1494131;//bugwoodcloud.org/images/;chemicals;;cat=1;46170;759;University of Georgia Plant Pathology ;2007-08-23T14:05:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1494131.jpg;;3262.0;leaf;False;train
1494132;//bugwoodcloud.org/images/;chemicals;;cat=1;46170;759;University of Georgia Plant Pathology ;2007-08-23T14:05:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1494132.jpg;;3262.0;leaf;False;train
1494135;//bugwoodcloud.org/images/;chemicals;;cat=1;46170;759;University of Georgia Plant Pathology ;2007-08-23T14:05:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1494135.jpg;;3262.0;leaf;False;train
1494136;//bugwoodcloud.org/images/;chemicals;;cat=1;46170;759;University of Georgia Plant Pathology ;2007-08-23T14:05:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1494136.jpg;;3262.0;scan;False;train
1494137;//bugwoodcloud.org/images/;chemicals;;cat=1;46170;759;University of Georgia Plant Pathology ;2007-08-23T14:05:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1494137.jpg;;3262.0;leaf;False;train
1496235;//bugwoodcloud.org/images/;chemicals;;cat=1;46170;759;University of Georgia Plant Pathology ;2007-08-22T16:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1496235.jpg;;11528.0;habit;False;train
1504099;//bugwoodcloud.org/images/;chemicals;;cat=1;3741;759;Max Williamson;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1504099.jpg;;3353.0;leaf;False;train
1505002;//bugwoodcloud.org/images/;chemicals;;cat=1;3741;759;Max Williamson;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1505002.jpg;;3330.0;leaf;False;train
1505003;//bugwoodcloud.org/images/;chemicals;;cat=1;3741;759;Max Williamson;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1505003.jpg;;3325.0;leaf;False;train
1505004;//bugwoodcloud.org/images/;chemicals;;cat=1;3741;759;Max Williamson;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1505004.jpg;;3331.0;leaf;False;train
1505006;//bugwoodcloud.org/images/;chemicals;;cat=1;3741;759;Max Williamson;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1505006.jpg;;3347.0;leaf;False;train
1505007;//bugwoodcloud.org/images/;chemicals;;cat=1;3741;759;Max Williamson;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1505007.jpg;;;habit;False;train
1505008;//bugwoodcloud.org/images/;chemicals;;cat=1;3741;759;Max Williamson;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1505008.jpg;;;habit;False;train
1505014;//bugwoodcloud.org/images/;chemicals;;cat=1;12034;759;USDA Forest Service - Region 8 - Southern ;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1505014.jpg;;1050.0;leaf;False;train
1505017;//bugwoodcloud.org/images/;chemicals;;cat=1;12034;759;USDA Forest Service - Region 8 - Southern ;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1505017.jpg;;2759.0;leaf;False;train
1505018;//bugwoodcloud.org/images/;chemicals;;cat=1;12034;759;USDA Forest Service - Region 8 - Southern ;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1505018.jpg;;3968.0;scan;False;train
1506050;//bugwoodcloud.org/images/;chemicals;;cat=1;12034;759;USDA Forest Service - Region 8 - Southern ;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1506050.jpg;;;habit;False;train
1525076;//bugwoodcloud.org/images/;chemicals;;cat=1;48495;759;Department of Plant Pathology ;2007-08-30T16:27:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1525076.jpg;;19420.0;leaf;False;train
1540952;//bugwoodcloud.org/images/;chemicals;;cat=1;2610;759;Lacy L. Hyche;2008-05-20T16:44:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1540952.jpg;;;habit;False;train
1540953;//bugwoodcloud.org/images/;chemicals;;cat=1;2610;759;Lacy L. Hyche;2008-05-20T16:44:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1540953.jpg;;;habit;False;train
1540954;//bugwoodcloud.org/images/;chemicals;;cat=1;2610;759;Lacy L. Hyche;2008-05-20T16:45:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1540954.jpg;;;leaf;False;train
1540956;//bugwoodcloud.org/images/;chemicals;;cat=1;2610;759;Lacy L. Hyche;2008-05-20T16:45:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1540956.jpg;;;leaf;False;train
1570291;//bugwoodcloud.org/images/;chemicals;;cat=1;35540;759;Gerald Holmes;2009-08-11T15:52:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1570291.jpg;;;fruit;False;train
1570292;//bugwoodcloud.org/images/;chemicals;;cat=1;35540;759;Gerald Holmes;2009-08-11T15:52:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1570292.jpg;;;fruit;False;train
1634391;//bugwoodcloud.org/images/;chemicals;;cat=1;122713;759;Penn State Department of Plant Pathology & Environmental Microbiology Archives ;2016-08-30T10:19:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/1634391.jpg;;12188.0;habit;False;train
2253071;//bugwoodcloud.org/images/;chemicals;;cat=1;159;759;USDA Forest Service - Northern and Intermountain Region ;1995-11-13T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/2253071.jpg;;2735.0;branch;False;train
2253072;//bugwoodcloud.org/images/;chemicals;;cat=1;159;759;USDA Forest Service - Northern and Intermountain Region ;1995-11-13T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/2253072.jpg;;;leaf;False;train
3037006;//bugwoodcloud.org/images/;chemicals;;cat=1;1;759;Robert L. Anderson;1990-01-01T00:00:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/3037006.jpg;;;branch;False;train
4912056;//bugwoodcloud.org/images/;chemicals;;cat=1;11449;759;Petr Kapitola;2006-02-27T09:27:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/4912056.jpg;;2740.0;habit;False;train
5059017;//bugwoodcloud.org/images/;chemicals;;cat=1;15864;759;Joseph OBrien;2006-10-23T10:43:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/5059017.jpg;;;leaf;False;train
5076084;//bugwoodcloud.org/images/;chemicals;;cat=1;38287;759;David B. Langston;2006-10-27T09:58:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/5076084.jpg;;5333.0;fruit;False;train
5331064;//bugwoodcloud.org/images/;chemicals;;cat=1;53257;759;Mary Ann Hansen;2007-11-01T09:44:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/5331064.jpg;;14967.0;habit;False;train
5332018;//bugwoodcloud.org/images/;chemicals;;cat=1;53257;759;Mary Ann Hansen;2007-11-01T09:51:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/5332018.jpg;;12194.0;branch;False;train
5332021;//bugwoodcloud.org/images/;chemicals;;cat=1;53257;759;Mary Ann Hansen;2007-11-01T09:51:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/5332021.jpg;;5448.0;scan;False;train
5335083;//bugwoodcloud.org/images/;chemicals;;cat=1;53257;759;Mary Ann Hansen;2007-11-01T10:35:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/5335083.jpg;;10449.0;leaf;False;train
5336019;//bugwoodcloud.org/images/;chemicals;;cat=1;53257;759;Mary Ann Hansen;2007-11-01T10:39:00;chemicals;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/chemicals_nan/5336019.jpg;;12197.0;leaf;False;train
