imgnum;imgpath;crop;code;train_test_set;is_PV
plant_69443;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69443.jpg;Apple;Alternaria Blotch;train;False
plant_69444;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69444.jpg;Apple;Alternaria Blotch;train;False
plant_69445;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69445.jpg;Apple;Alternaria Blotch;train;False
plant_69446;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69446.jpg;Apple;Alternaria Blotch;train;False
plant_69447;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69447.jpg;Apple;Alternaria Blotch;train;False
plant_69448;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69448.jpg;Apple;Alternaria Blotch;train;False
plant_69449;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69449.jpg;Apple;Alternaria Blotch;train;False
plant_69450;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69450.jpg;Apple;Alternaria Blotch;train;False
plant_69451;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69451.jpg;Apple;Alternaria Blotch;train;False
plant_69452;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69452.jpg;Apple;Alternaria Blotch;train;False
plant_69453;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69453.jpg;Apple;Alternaria Blotch;train;False
plant_69454;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69454.jpg;Apple;Alternaria Blotch;train;False
plant_69455;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69455.jpg;Apple;Alternaria Blotch;train;False
plant_69456;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69456.jpg;Apple;Alternaria Blotch;train;False
plant_69457;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69457.jpg;Apple;Alternaria Blotch;train;False
plant_69458;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69458.jpg;Apple;Alternaria Blotch;train;False
plant_69459;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69459.jpg;Apple;Alternaria Blotch;train;False
plant_69460;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69460.jpg;Apple;Alternaria Blotch;train;False
plant_69461;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69461.jpg;Apple;Alternaria Blotch;train;False
plant_69462;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69462.jpg;Apple;Alternaria Blotch;train;False
plant_69463;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69463.jpg;Apple;Alternaria Blotch;train;False
plant_69464;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69464.jpg;Apple;Alternaria Blotch;train;False
plant_69465;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69465.jpg;Apple;Alternaria Blotch;train;False
plant_69466;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69466.jpg;Apple;Alternaria Blotch;train;False
plant_69467;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69467.jpg;Apple;Alternaria Blotch;train;False
plant_69468;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69468.jpg;Apple;Alternaria Blotch;train;False
plant_69469;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69469.jpg;Apple;Alternaria Blotch;train;False
plant_69470;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69470.jpg;Apple;Alternaria Blotch;train;False
plant_69471;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69471.jpg;Apple;Alternaria Blotch;train;False
plant_69472;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69472.jpg;Apple;Alternaria Blotch;train;False
plant_69473;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69473.jpg;Apple;Alternaria Blotch;train;False
plant_69474;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69474.jpg;Apple;Alternaria Blotch;train;False
plant_69475;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69475.jpg;Apple;Alternaria Blotch;train;False
plant_69476;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69476.jpg;Apple;Alternaria Blotch;train;False
plant_69477;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69477.jpg;Apple;Alternaria Blotch;train;False
plant_69478;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69478.jpg;Apple;Alternaria Blotch;train;False
plant_69479;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69479.jpg;Apple;Alternaria Blotch;train;False
plant_69480;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69480.jpg;Apple;Alternaria Blotch;train;False
plant_69481;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69481.jpg;Apple;Alternaria Blotch;train;False
plant_69482;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69482.jpg;Apple;Alternaria Blotch;train;False
plant_69483;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69483.jpg;Apple;Alternaria Blotch;train;False
plant_69484;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69484.jpg;Apple;Alternaria Blotch;train;False
plant_69485;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69485.jpg;Apple;Alternaria Blotch;train;False
plant_69486;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69486.jpg;Apple;Alternaria Blotch;train;False
plant_69487;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69487.jpg;Apple;Alternaria Blotch;train;False
plant_69488;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69488.jpg;Apple;Alternaria Blotch;train;False
plant_69489;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69489.jpg;Apple;Alternaria Blotch;train;False
plant_69490;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69490.jpg;Apple;Alternaria Blotch;train;False
plant_69491;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69491.jpg;Apple;Alternaria Blotch;train;False
plant_69492;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69492.jpg;Apple;Alternaria Blotch;train;False
plant_69493;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69493.jpg;Apple;Alternaria Blotch;train;False
plant_69494;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69494.jpg;Apple;Alternaria Blotch;train;False
plant_69495;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69495.jpg;Apple;Alternaria Blotch;train;False
plant_69496;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69496.jpg;Apple;Alternaria Blotch;train;False
plant_69497;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69497.jpg;Apple;Alternaria Blotch;train;False
plant_69498;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69498.jpg;Apple;Alternaria Blotch;train;False
plant_69499;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69499.jpg;Apple;Alternaria Blotch;train;False
plant_69500;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69500.jpg;Apple;Alternaria Blotch;train;False
plant_69501;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69501.jpg;Apple;Alternaria Blotch;train;False
plant_69502;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69502.jpg;Apple;Alternaria Blotch;train;False
plant_69503;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69503.jpg;Apple;Alternaria Blotch;train;False
plant_69504;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69504.jpg;Apple;Alternaria Blotch;train;False
plant_69505;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69505.jpg;Apple;Alternaria Blotch;train;False
plant_69506;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69506.jpg;Apple;Alternaria Blotch;train;False
plant_69507;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69507.jpg;Apple;Alternaria Blotch;train;False
plant_69508;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69508.jpg;Apple;Alternaria Blotch;train;False
plant_69509;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69509.jpg;Apple;Alternaria Blotch;train;False
plant_69510;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69510.jpg;Apple;Alternaria Blotch;train;False
plant_69511;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69511.jpg;Apple;Alternaria Blotch;train;False
plant_69512;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69512.jpg;Apple;Alternaria Blotch;train;False
plant_69513;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69513.jpg;Apple;Alternaria Blotch;train;False
plant_69514;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69514.jpg;Apple;Alternaria Blotch;train;False
plant_69515;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69515.jpg;Apple;Alternaria Blotch;train;False
plant_69516;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69516.jpg;Apple;Alternaria Blotch;train;False
plant_69517;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69517.jpg;Apple;Alternaria Blotch;train;False
plant_69518;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69518.jpg;Apple;Alternaria Blotch;train;False
plant_69519;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69519.jpg;Apple;Alternaria Blotch;train;False
plant_69520;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69520.jpg;Apple;Alternaria Blotch;train;False
plant_69521;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69521.jpg;Apple;Alternaria Blotch;train;False
plant_69522;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69522.jpg;Apple;Alternaria Blotch;train;False
plant_69523;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69523.jpg;Apple;Alternaria Blotch;train;False
plant_69524;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69524.jpg;Apple;Alternaria Blotch;train;False
plant_69525;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69525.jpg;Apple;Alternaria Blotch;train;False
plant_69526;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69526.jpg;Apple;Alternaria Blotch;train;False
plant_69527;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69527.jpg;Apple;Alternaria Blotch;train;False
plant_69528;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69528.jpg;Apple;Alternaria Blotch;train;False
plant_69529;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69529.jpg;Apple;Alternaria Blotch;train;False
plant_69530;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69530.jpg;Apple;Alternaria Blotch;train;False
plant_69531;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69531.jpg;Apple;Alternaria Blotch;train;False
plant_69532;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69532.jpg;Apple;Alternaria Blotch;train;False
plant_69533;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69533.jpg;Apple;Alternaria Blotch;train;False
plant_69534;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69534.jpg;Apple;Alternaria Blotch;train;False
plant_69535;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69535.jpg;Apple;Alternaria Blotch;train;False
plant_69536;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69536.jpg;Apple;Alternaria Blotch;train;False
plant_69537;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69537.jpg;Apple;Alternaria Blotch;train;False
plant_69538;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69538.jpg;Apple;Alternaria Blotch;train;False
plant_69539;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69539.jpg;Apple;Alternaria Blotch;train;False
plant_69540;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69540.jpg;Apple;Alternaria Blotch;train;False
plant_69541;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69541.jpg;Apple;Alternaria Blotch;train;False
plant_69542;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69542.jpg;Apple;Alternaria Blotch;train;False
plant_69543;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69543.jpg;Apple;Alternaria Blotch;train;False
plant_69544;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69544.jpg;Apple;Alternaria Blotch;train;False
plant_69545;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69545.jpg;Apple;Alternaria Blotch;train;False
plant_69546;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69546.jpg;Apple;Alternaria Blotch;train;False
plant_69547;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69547.jpg;Apple;Alternaria Blotch;train;False
plant_69548;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69548.jpg;Apple;Alternaria Blotch;train;False
plant_69549;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69549.jpg;Apple;Alternaria Blotch;train;False
plant_69550;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69550.jpg;Apple;Alternaria Blotch;train;False
plant_69551;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69551.jpg;Apple;Alternaria Blotch;train;False
plant_69552;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69552.jpg;Apple;Alternaria Blotch;train;False
plant_69553;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69553.jpg;Apple;Alternaria Blotch;train;False
plant_69554;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69554.jpg;Apple;Alternaria Blotch;train;False
plant_69555;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69555.jpg;Apple;Alternaria Blotch;train;False
plant_69556;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69556.jpg;Apple;Alternaria Blotch;train;False
plant_69557;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69557.jpg;Apple;Alternaria Blotch;train;False
plant_69558;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69558.jpg;Apple;Alternaria Blotch;train;False
plant_69559;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69559.jpg;Apple;Alternaria Blotch;train;False
plant_69560;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69560.jpg;Apple;Alternaria Blotch;train;False
plant_69561;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69561.jpg;Apple;Alternaria Blotch;train;False
plant_69562;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69562.jpg;Apple;Alternaria Blotch;train;False
plant_69563;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69563.jpg;Apple;Alternaria Blotch;train;False
plant_69564;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69564.jpg;Apple;Alternaria Blotch;train;False
plant_69565;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69565.jpg;Apple;Alternaria Blotch;train;False
plant_69566;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69566.jpg;Apple;Alternaria Blotch;train;False
plant_69567;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69567.jpg;Apple;Alternaria Blotch;train;False
plant_69568;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69568.jpg;Apple;Alternaria Blotch;train;False
plant_69569;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69569.jpg;Apple;Alternaria Blotch;train;False
plant_69570;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69570.jpg;Apple;Alternaria Blotch;train;False
plant_69571;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69571.jpg;Apple;Alternaria Blotch;train;False
plant_69572;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69572.jpg;Apple;Alternaria Blotch;train;False
plant_69573;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69573.jpg;Apple;Alternaria Blotch;train;False
plant_69574;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69574.jpg;Apple;Alternaria Blotch;train;False
plant_69575;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69575.jpg;Apple;Alternaria Blotch;train;False
plant_69576;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69576.jpg;Apple;Alternaria Blotch;train;False
plant_69577;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69577.jpg;Apple;Alternaria Blotch;train;False
plant_69578;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69578.jpg;Apple;Alternaria Blotch;train;False
plant_69579;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69579.jpg;Apple;Alternaria Blotch;train;False
plant_69580;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69580.jpg;Apple;Alternaria Blotch;train;False
plant_69581;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69581.jpg;Apple;Alternaria Blotch;train;False
plant_69582;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69582.jpg;Apple;Alternaria Blotch;train;False
plant_69583;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69583.jpg;Apple;Alternaria Blotch;train;False
plant_69584;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69584.jpg;Apple;Alternaria Blotch;train;False
plant_69585;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69585.jpg;Apple;Alternaria Blotch;train;False
plant_69586;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69586.jpg;Apple;Alternaria Blotch;train;False
plant_69587;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69587.jpg;Apple;Alternaria Blotch;train;False
plant_69588;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69588.jpg;Apple;Alternaria Blotch;train;False
plant_69589;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69589.jpg;Apple;Alternaria Blotch;train;False
plant_69590;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69590.jpg;Apple;Alternaria Blotch;train;False
plant_69591;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69591.jpg;Apple;Alternaria Blotch;train;False
plant_69592;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69592.jpg;Apple;Alternaria Blotch;train;False
plant_69593;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69593.jpg;Apple;Alternaria Blotch;train;False
plant_69594;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69594.jpg;Apple;Alternaria Blotch;train;False
plant_69595;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69595.jpg;Apple;Alternaria Blotch;train;False
plant_69596;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69596.jpg;Apple;Alternaria Blotch;train;False
plant_69597;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69597.jpg;Apple;Alternaria Blotch;train;False
plant_69598;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69598.jpg;Apple;Alternaria Blotch;train;False
plant_69599;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69599.jpg;Apple;Alternaria Blotch;train;False
plant_69600;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69600.jpg;Apple;Alternaria Blotch;train;False
plant_69601;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69601.jpg;Apple;Alternaria Blotch;train;False
plant_69602;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69602.jpg;Apple;Alternaria Blotch;train;False
plant_69603;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69603.jpg;Apple;Alternaria Blotch;train;False
plant_69604;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69604.jpg;Apple;Alternaria Blotch;train;False
plant_69605;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69605.jpg;Apple;Alternaria Blotch;train;False
plant_69606;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69606.jpg;Apple;Alternaria Blotch;train;False
plant_69607;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69607.jpg;Apple;Alternaria Blotch;train;False
plant_69608;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69608.jpg;Apple;Alternaria Blotch;train;False
plant_69609;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69609.jpg;Apple;Alternaria Blotch;train;False
plant_69610;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69610.jpg;Apple;Alternaria Blotch;train;False
plant_69611;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69611.jpg;Apple;Alternaria Blotch;train;False
plant_69612;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69612.jpg;Apple;Alternaria Blotch;train;False
plant_69613;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69613.jpg;Apple;Alternaria Blotch;train;False
plant_69614;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69614.jpg;Apple;Alternaria Blotch;train;False
plant_69615;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69615.jpg;Apple;Alternaria Blotch;train;False
plant_69616;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69616.jpg;Apple;Alternaria Blotch;train;False
plant_69617;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69617.jpg;Apple;Alternaria Blotch;train;False
plant_69618;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69618.jpg;Apple;Alternaria Blotch;train;False
plant_69619;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69619.jpg;Apple;Alternaria Blotch;train;False
plant_69620;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69620.jpg;Apple;Alternaria Blotch;train;False
plant_69621;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69621.jpg;Apple;Alternaria Blotch;train;False
plant_69622;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69622.jpg;Apple;Alternaria Blotch;train;False
plant_69623;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69623.jpg;Apple;Alternaria Blotch;train;False
plant_69624;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69624.jpg;Apple;Alternaria Blotch;train;False
plant_69625;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69625.jpg;Apple;Alternaria Blotch;train;False
plant_69626;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69626.jpg;Apple;Alternaria Blotch;train;False
plant_69627;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69627.jpg;Apple;Alternaria Blotch;train;False
plant_69628;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69628.jpg;Apple;Alternaria Blotch;train;False
plant_69629;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69629.jpg;Apple;Alternaria Blotch;train;False
plant_69630;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69630.jpg;Apple;Alternaria Blotch;train;False
plant_69631;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69631.jpg;Apple;Alternaria Blotch;train;False
plant_69632;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69632.jpg;Apple;Alternaria Blotch;train;False
plant_69633;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69633.jpg;Apple;Alternaria Blotch;train;False
plant_69634;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69634.jpg;Apple;Alternaria Blotch;train;False
plant_69635;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69635.jpg;Apple;Alternaria Blotch;train;False
plant_69636;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69636.jpg;Apple;Alternaria Blotch;train;False
plant_69637;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69637.jpg;Apple;Alternaria Blotch;train;False
plant_69638;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69638.jpg;Apple;Alternaria Blotch;train;False
plant_69639;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69639.jpg;Apple;Alternaria Blotch;train;False
plant_69640;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69640.jpg;Apple;Alternaria Blotch;train;False
plant_69641;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69641.jpg;Apple;Alternaria Blotch;train;False
plant_69642;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69642.jpg;Apple;Alternaria Blotch;train;False
plant_69643;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69643.jpg;Apple;Alternaria Blotch;train;False
plant_69644;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69644.jpg;Apple;Alternaria Blotch;train;False
plant_69645;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69645.jpg;Apple;Alternaria Blotch;train;False
plant_69646;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69646.jpg;Apple;Alternaria Blotch;train;False
plant_69647;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69647.jpg;Apple;Alternaria Blotch;train;False
plant_69648;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69648.jpg;Apple;Alternaria Blotch;train;False
plant_69649;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69649.jpg;Apple;Alternaria Blotch;train;False
