imgnum;imgpath;code;cause;type;organisme;confirmed;train_test_set;date;hour;artist;day_obs_count;subid
Idf04559;../data/Bousset_data/Images/Alt/Idf04559.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:13:55;nan;12;Alternaria brassicicola, A. brasicae
Idf04560;../data/Bousset_data/Images/Alt/Idf04560.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:14:02;nan;12;Alternaria brassicicola, A. brasicae
Idf04561;../data/Bousset_data/Images/Alt/Idf04561.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:14:21;nan;12;Alternaria brassicicola, A. brasicae
Idf04563;../data/Bousset_data/Images/Alt/Idf04563.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:14:29;nan;12;Alternaria brassicicola, A. brasicae
Idf04564;../data/Bousset_data/Images/Alt/Idf04564.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:14:37;nan;12;Alternaria brassicicola, A. brasicae
Idf04568;../data/Bousset_data/Images/Alt/Idf04568.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:15:46;nan;12;Alternaria brassicicola, A. brasicae
Idf04584;../data/Bousset_data/Images/Alt/Idf04584.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:18:17;nan;12;Alternaria brassicicola, A. brasicae
Idf04599;../data/Bousset_data/Images/Alt/Idf04599.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:20:06;nan;12;Alternaria brassicicola, A. brasicae
Idf04600;../data/Bousset_data/Images/Alt/Idf04600.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:20:18;nan;12;Alternaria brassicicola, A. brasicae
Idf04603;../data/Bousset_data/Images/Alt/Idf04603.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:20:34;nan;12;Alternaria brassicicola, A. brasicae
Idf04604;../data/Bousset_data/Images/Alt/Idf04604.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:20:41;nan;12;Alternaria brassicicola, A. brasicae
Idf04605;../data/Bousset_data/Images/Alt/Idf04605.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:20:54;nan;12;Alternaria brassicicola, A. brasicae
Idf04606;../data/Bousset_data/Images/Alt/Idf04606.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:20:59;nan;12;Alternaria brassicicola, A. brasicae
Idf04607;../data/Bousset_data/Images/Alt/Idf04607.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:21:01;nan;12;Alternaria brassicicola, A. brasicae
Idf04608;../data/Bousset_data/Images/Alt/Idf04608.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:21:11;nan;12;Alternaria brassicicola, A. brasicae
Idf04610;../data/Bousset_data/Images/Alt/Idf04610.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:21:25;nan;12;Alternaria brassicicola, A. brasicae
Idf04611;../data/Bousset_data/Images/Alt/Idf04611.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:21:26;nan;12;Alternaria brassicicola, A. brasicae
Idf04612;../data/Bousset_data/Images/Alt/Idf04612.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:21:32;nan;12;Alternaria brassicicola, A. brasicae
Idf04613;../data/Bousset_data/Images/Alt/Idf04613.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:21:40;nan;12;Alternaria brassicicola, A. brasicae
Idf04614;../data/Bousset_data/Images/Alt/Idf04614.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:21:45;nan;12;Alternaria brassicicola, A. brasicae
Idf04615;../data/Bousset_data/Images/Alt/Idf04615.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:21:49;nan;12;Alternaria brassicicola, A. brasicae
Idf04616;../data/Bousset_data/Images/Alt/Idf04616.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:21:57;nan;12;Alternaria brassicicola, A. brasicae
Idf04617;../data/Bousset_data/Images/Alt/Idf04617.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:22:02;nan;12;Alternaria brassicicola, A. brasicae
Idf04619;../data/Bousset_data/Images/Alt/Idf04619.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:22:13;nan;12;Alternaria brassicicola, A. brasicae
Idf04620;../data/Bousset_data/Images/Alt/Idf04620.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:22:16;nan;12;Alternaria brassicicola, A. brasicae
Idf04623;../data/Bousset_data/Images/Alt/Idf04623.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:22:32;nan;12;Alternaria brassicicola, A. brasicae
Idf04624;../data/Bousset_data/Images/Alt/Idf04624.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:22:43;nan;12;Alternaria brassicicola, A. brasicae
Idf04625;../data/Bousset_data/Images/Alt/Idf04625.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:22:45;nan;12;Alternaria brassicicola, A. brasicae
Idf04626;../data/Bousset_data/Images/Alt/Idf04626.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:23:01;nan;12;Alternaria brassicicola, A. brasicae
Idf04641;../data/Bousset_data/Images/Alt/Idf04641.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:24:29;nan;12;Alternaria brassicicola, A. brasicae
Idf04642;../data/Bousset_data/Images/Alt/Idf04642.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:24:41;nan;12;Alternaria brassicicola, A. brasicae
Idf04647;../data/Bousset_data/Images/Alt/Idf04647.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:25:26;nan;12;Alternaria brassicicola, A. brasicae
Idf04648;../data/Bousset_data/Images/Alt/Idf04648.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:25:34;nan;12;Alternaria brassicicola, A. brasicae
Idf04649;../data/Bousset_data/Images/Alt/Idf04649.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:25:42;nan;12;Alternaria brassicicola, A. brasicae
Idf04655;../data/Bousset_data/Images/Alt/Idf04655.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:26:39;nan;12;Alternaria brassicicola, A. brasicae
Idf04656;../data/Bousset_data/Images/Alt/Idf04656.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:26:42;nan;12;Alternaria brassicicola, A. brasicae
Idf04666;../data/Bousset_data/Images/Alt/Idf04666.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:27:58;nan;12;Alternaria brassicicola, A. brasicae
Idf04668;../data/Bousset_data/Images/Alt/Idf04668.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:28:13;nan;12;Alternaria brassicicola, A. brasicae
Idf04669;../data/Bousset_data/Images/Alt/Idf04669.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:28:21;nan;12;Alternaria brassicicola, A. brasicae
Idf04679;../data/Bousset_data/Images/Alt/Idf04679.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:29:25;nan;12;Alternaria brassicicola, A. brasicae
Idf04682;../data/Bousset_data/Images/Alt/Idf04682.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:29:46;nan;12;Alternaria brassicicola, A. brasicae
Idf04683;../data/Bousset_data/Images/Alt/Idf04683.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:29:50;nan;12;Alternaria brassicicola, A. brasicae
Idf04684;../data/Bousset_data/Images/Alt/Idf04684.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:29:54;nan;12;Alternaria brassicicola, A. brasicae
Idf04700;../data/Bousset_data/Images/Alt/Idf04700.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:32:11;nan;12;Alternaria brassicicola, A. brasicae
Idf04701;../data/Bousset_data/Images/Alt/Idf04701.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:32:14;nan;12;Alternaria brassicicola, A. brasicae
Idf04704;../data/Bousset_data/Images/Alt/Idf04704.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:32:33;nan;12;Alternaria brassicicola, A. brasicae
Idf04705;../data/Bousset_data/Images/Alt/Idf04705.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:32:41;nan;12;Alternaria brassicicola, A. brasicae
Idf04710;../data/Bousset_data/Images/Alt/Idf04710.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:33:13;nan;12;Alternaria brassicicola, A. brasicae
Idf04711;../data/Bousset_data/Images/Alt/Idf04711.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:33:16;nan;12;Alternaria brassicicola, A. brasicae
Idf04714;../data/Bousset_data/Images/Alt/Idf04714.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:33:39;nan;12;Alternaria brassicicola, A. brasicae
Idf04715;../data/Bousset_data/Images/Alt/Idf04715.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:33:42;nan;12;Alternaria brassicicola, A. brasicae
Idf04716;../data/Bousset_data/Images/Alt/Idf04716.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:33:45;nan;12;Alternaria brassicicola, A. brasicae
Idf04717;../data/Bousset_data/Images/Alt/Idf04717.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:33:48;nan;12;Alternaria brassicicola, A. brasicae
Idf04720;../data/Bousset_data/Images/Alt/Idf04720.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:34:03;nan;12;Alternaria brassicicola, A. brasicae
Idf04721;../data/Bousset_data/Images/Alt/Idf04721.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:34:07;nan;12;Alternaria brassicicola, A. brasicae
Idf08248;../data/Bousset_data/Images/Alt/Idf08248.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:10:06;16:58:21;nan;12;Alternaria brassicicola, A. brasicae
Idf09186;../data/Bousset_data/Images/Alt/Idf09186.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:11:15;15:10:43;nan;12;Alternaria brassicicola, A. brasicae
Idf09658;../data/Bousset_data/Images/Alt/Idf09658.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:11:24;15:41:31;nan;12;Alternaria brassicicola, A. brasicae
Idf09664;../data/Bousset_data/Images/Alt/Idf09664.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:11:24;15:42:11;nan;12;Alternaria brassicicola, A. brasicae
Idf09671;../data/Bousset_data/Images/Alt/Idf09671.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:11:24;15:43:15;nan;12;Alternaria brassicicola, A. brasicae
Idf09672;../data/Bousset_data/Images/Alt/Idf09672.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:11:24;15:43:20;nan;12;Alternaria brassicicola, A. brasicae
Idf09683;../data/Bousset_data/Images/Alt/Idf09683.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:11:24;15:44:50;nan;12;Alternaria brassicicola, A. brasicae
Idf09687;../data/Bousset_data/Images/Alt/Idf09687.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:11:24;15:45:19;nan;12;Alternaria brassicicola, A. brasicae
Idf09691;../data/Bousset_data/Images/Alt/Idf09691.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:11:24;15:46:06;nan;12;Alternaria brassicicola, A. brasicae
Idf09692;../data/Bousset_data/Images/Alt/Idf09692.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:11:24;15:46:09;nan;12;Alternaria brassicicola, A. brasicae
Idf09693;../data/Bousset_data/Images/Alt/Idf09693.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:11:24;15:46:14;nan;12;Alternaria brassicicola, A. brasicae
Idf09694;../data/Bousset_data/Images/Alt/Idf09694.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:11:24;15:46:18;nan;12;Alternaria brassicicola, A. brasicae
Idf09695;../data/Bousset_data/Images/Alt/Idf09695.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:11:28;11:59:06;nan;12;Alternaria brassicicola, A. brasicae
